Unnamed: 0,Focal Plane Image,Time Stream Image,Number of Detectors,Y and X Extent Ratio,Mean abs(Correlation),Mean abs(Time Lag),Y Hist Max and Adjacent/Number of Detectors,Within 0.1 of Y Hist Max/Number of Detectors,TOD,Start Index,Stop Index,Start Ctime,Stop Ctime,Median Ctime,ra,dec,ra with TOD Offsets,dec with TOD Offsets,Type,Glitch
0,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_2234-2569.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_2234-2569.png,4.0,0.1798525971304213,0.4693474752832258,54.333333333333336,0.25,1.0,1559722345.1559731021.ar5:f090,2234.0,2569.0,1559722350.130198,1559722350.975228,1559722350.552713,66.19331467646201,-95.66630867206996,-0.0427721359863029,-0.0106209272634762,Original,Unlabeled
1,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_17564-17966.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_17564-17966.png,4.0,0.3322463501257795,0.6320422161494416,0.0,0.5,1.0,1559722345.1559731021.ar5:f090,17564.0,17966.0,1559722388.91554,1559722389.930082,1559722389.422811,-1.1756735004953156,-1.456301609555254,-0.0251400529670803,-0.0338041247306363,Original,Unlabeled
2,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_18781-19182.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_18781-19182.png,6.0,0.0834094077759742,0.3341356306474052,25.0,0.6666666666666666,1.0,1559722345.1559731021.ar5:f090,18781.0,19182.0,1559722391.994586,1559722393.006597,1559722392.500591,-2.8493162625300035,1.9127010986211523,-0.0541928362548898,0.025261755740449,Original,Unlabeled
3,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_22102-22693.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_22102-22693.png,30.0,0.6217582549560181,0.3356958960637274,0.2850574712643678,0.4333333333333333,0.4666666666666667,1559722345.1559731021.ar5:f090,22102.0,22693.0,1559722400.396811,1559722401.889528,1559722401.14317,-0.3608597603703772,-3.05324966697394,-0.0105537823404128,-0.0622733923595104,Original,Unlabeled
4,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_26019-26421.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_26019-26421.png,6.0,0.8436203209037079,0.4947071826822862,0.0666666666666666,0.3333333333333333,1.0,1559722345.1559731021.ar5:f090,26019.0,26421.0,1559722410.306932,1559722411.321474,1559722410.814203,-3.7553776655293016,3.9813043960804975,-0.0689311135712418,0.0599723779778448,Original,Unlabeled
5,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_27940-28341.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_27940-28341.png,6.0,0.8469979817568346,0.4115569587621382,28.066666666666663,0.5,0.5,1559722345.1559731021.ar5:f090,27940.0,28341.0,1559722415.167117,1559722416.179129,1559722415.673123,-1.0624406787829308,-1.6643052985049924,-0.0228346837741761,-0.0379896399179541,Original,Unlabeled
6,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_30550-30954.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_30550-30954.png,9.0,1.0213572248380636,0.5055160023057609,0.0277777777777777,0.3333333333333333,1.0,1559722345.1559731021.ar5:f090,30550.0,30954.0,1559722421.770495,1559722422.790097,1559722422.2802958,-1.3353057813882492,-0.0596416512807372,-0.0277980952076462,-0.0095108205320466,Original,Unlabeled
7,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_51925-52331.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_51925-52331.png,29.0,0.9822145963766122,0.4202884172884751,3.5911330049261085,0.4827586206896552,0.4827586206896552,1559722345.1559731021.ar5:f090,51925.0,52331.0,1559722475.84986,1559722476.874521,1559722476.362191,-2.3091305671039333,1.3682420370780235,-0.0446800862578622,0.015382951684489,Original,Unlabeled
8,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_53248-53652.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_53248-53652.png,8.0,0.4794010991648756,0.4657705394739664,0.1071428571428571,0.375,0.75,1559722345.1559731021.ar5:f090,53248.0,53652.0,1559722479.197088,1559722480.21669,1559722479.7068892,-0.5847583254362462,-2.03063562073804,-0.015202846624883,-0.0428464725615864,Original,Unlabeled
9,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_62199-62604.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_62199-62604.png,15.0,1.298703609683552,0.4642654511494692,0.219047619047619,0.4666666666666667,0.7333333333333333,1559722345.1559731021.ar5:f090,62199.0,62604.0,1559722501.843376,1559722502.865508,1559722502.354442,-1.5157305312903593,0.1676254131237093,-0.0309785994143824,-0.0056189383024526,Original,Unlabeled
10,TOD_1559722345.1559731021.ar5:f090_entire_array_tslice_67537-68116.png,TOD_1559722345.1559731021.ar5:f090_snipTOD_tslice_67537-68116.png,82.0,1.3721561945391465,0.3287436854146628,11.369467028003614,0.7926829268292683,0.524390243902439,1559722345.1559731021.ar5:f090,67537.0,68116.0,1559722515.348669,1559722516.811026,1559722516.079848,-0.5580629984770967,-1.860550153801216,-0.0115276621309043,-0.0428063168850753,Original,Unlabeled
0,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_4427-4830.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_4427-4830.png,12.0,0.2821986957696889,0.4313531115860656,0.0757575757575757,0.4166666666666667,0.8333333333333334,1559981711.1559990795.ar5:f090,4427.0,4830.0,1559981720.806485,1559981721.823556,1559981721.31502,-8.503988931007926,1.890065239426738,-0.1521414529791988,0.024743799174736,Original,Unlabeled
